"","S","I","R","t"
"268",298,133,68,6.98340953278584
"269",297,134,68,6.9927989241447
"270",296,135,68,7.01381099859712
"271",296,134,69,7.03824208084061
"272",296,133,70,7.0623241886081
"273",295,134,70,7.0650765459971
"274",295,133,71,7.08564135964365
"275",294,134,71,7.08898562545622
"276",294,133,72,7.12202013100279
"277",293,134,72,7.13098021108384
"278",292,135,72,7.14399258722525
"279",291,136,72,7.15125494546662
"280",290,137,72,7.15992308299805
"281",289,138,72,7.16599949961915
"282",288,139,72,7.16677494728179
"283",288,138,73,7.20136487512364
"284",287,139,73,7.20277364641239
"285",286,140,73,7.20558498362741
"286",286,139,74,7.23592843870933
"287",285,140,74,7.24587570862266
"288",285,139,75,7.28661866361861
"289",285,138,76,7.30731766307649
"290",284,139,76,7.31264983303481
"291",283,140,76,7.32803354135546
"292",282,141,76,7.33105929543849
"293",281,142,76,7.33807117957774
"294",280,143,76,7.34366999758719
"295",279,144,76,7.35663564715908
"296",278,145,76,7.36445529581977
"297",278,144,77,7.38025560391036
"298",278,143,78,7.40262756930313
"299",277,144,78,7.40432261887005
"300",277,143,79,7.42135792841067
"301",277,142,80,7.47099523589918
"302",276,143,80,7.47593345230422
"303",275,144,80,7.4797998824765
"304",274,145,80,7.48350823528518
"305",273,146,80,7.48595813712707
"306",273,145,81,7.50390483938563
"307",272,146,81,7.50612154526275
"308",272,145,82,7.53608780419311
"309",271,146,82,7.5489523341685
"310",270,147,82,7.55226312803647
"311",269,148,82,7.56298641543063
"312",269,147,83,7.57777030006134
"313",268,148,83,7.58525503905416
"314",267,149,83,7.59357008589308
"315",267,148,84,7.67072521332889
"316",266,149,84,7.67397999955617
"317",265,150,84,7.67872784415994
"318",264,151,84,7.68484946315519
"319",264,150,85,7.72693217756677
"320",263,151,85,7.73320570256369
"321",262,152,85,7.74434823583409
"322",261,153,85,7.74931105452535
"323",261,152,86,7.77152134688081
"324",261,151,87,7.82248170381743
"325",260,152,87,7.83218866800921
"326",260,151,88,7.93321820697443
"327",260,150,89,7.95903356782412
"328",260,149,90,8.05408713390472
"329",260,148,91,8.0838888512401
"330",259,149,91,8.09528134209409
"331",258,150,91,8.09776465304124
"332",257,151,91,8.1004852502562
"333",256,152,91,8.11327248996753
"334",255,153,91,8.1220541649012
"335",255,152,92,8.15053502268979
"336",255,151,93,8.17563816889975
"337",255,150,94,8.19845216611149
"338",254,151,94,8.20053952270547
"339",254,150,95,8.2448751400804
"340",253,151,95,8.24718238117937
"341",252,152,95,8.25484240844687
"342",252,151,96,8.32433693672496
"343",252,150,97,8.35210418103287
"344",252,149,98,8.39742584193264
"345",252,148,99,8.4201747024919
"346",252,147,100,8.43768207450373
"347",252,146,101,8.45718705152486
"348",251,147,101,8.4695647526279
"349",250,148,101,8.47979918126379
"350",249,149,101,8.49290602816285
"351",249,148,102,8.52482938600604
"352",249,147,103,8.55213575866253
"353",248,148,103,8.55734237910379
"354",247,149,103,8.56923524732109
"355",247,148,104,8.61626925560379
"356",247,147,105,8.63506840023761
"357",246,148,105,8.63960629490559
"358",246,147,106,8.70221632957982
"359",246,146,107,8.72852072668911
"360",246,145,108,8.74415654352824
"361",246,144,109,8.78009273525712
"362",245,145,109,8.79259003139193
"363",244,146,109,8.79300686428675
"364",243,147,109,8.80040156681425
"365",242,148,109,8.80066127406328
"366",242,147,110,8.84079808094771
"367",242,146,111,8.89424980936216
"368",241,147,111,8.90106199422434
"369",240,148,111,8.90330444246543
"370",239,149,111,8.90588358651966
"371",239,148,112,8.92092865099014
"372",238,149,112,8.93135571927137
"373",237,150,112,8.94369599526604
"374",236,151,112,8.94578120011253
"375",236,150,113,8.96546943816007
"376",235,151,113,8.96600588388959
"377",235,150,114,8.98200264512444
"378",234,151,114,8.9845618625395
"379",233,152,114,8.99020242017937
"380",232,153,114,9.0112269665806
"381",231,154,114,9.01409201984058
"382",230,155,114,9.02021008564101
"383",230,154,115,9.03944330436209
"384",229,155,115,9.04145227678377
"385",228,156,115,9.04343680018042
"386",227,157,115,9.0462476925015
"387",226,158,115,9.0577124671276
"388",226,157,116,9.07636406800664
"389",226,156,117,9.09466839222289
"390",226,155,118,9.1130857940835
"391",226,154,119,9.12982799501735
"392",225,155,119,9.13553650710662
"393",224,156,119,9.14617874646672
"394",223,157,119,9.15162027340457
"395",222,158,119,9.15793674619339
"396",221,159,119,9.16660142769342
"397",221,158,120,9.18316865614507
"398",220,159,120,9.19356585738778
"399",220,158,121,9.21654328514463
"400",219,159,121,9.2248673595648
"401",218,160,121,9.23720906505035
"402",218,159,122,9.26271297831657
"403",218,158,123,9.28274732350999
"404",218,157,124,9.36813943400475
"405",217,158,124,9.37607584586296
"406",217,157,125,9.47594036887866
"407",216,158,125,9.48021683179647
"408",215,159,125,9.49164143124401
"409",215,158,126,9.50685658942029
"410",215,157,127,9.52114650461169
"411",214,158,127,9.52697600509443
"412",214,157,128,9.54305998100559
"413",213,158,128,9.55562135733042
"414",213,157,129,9.59581316185039
"415",212,158,129,9.60746619124516
"416",212,157,130,9.62689209280555
"417",212,156,131,9.66214206959895
"418",211,157,131,9.67053054603718
"419",210,158,131,9.67498203695797
"420",210,157,132,9.68896096499272
"421",210,156,133,9.70894380869681
"422",210,155,134,9.73379443809099
"423",209,156,134,9.73528856641892
"424",208,157,134,9.73611647244133
"425",208,156,135,9.75053059956928
"426",207,157,135,9.75072112632167
"427",207,156,136,9.77144106185165
"428",206,157,136,9.78354242974708
"429",205,158,136,9.78700443617303
"430",204,159,136,9.79849886332656
"431",204,158,137,9.83734172761044
"432",203,159,137,9.84709238616752
"433",202,160,137,9.85295242680095
"434",202,159,138,9.86529846257614
"435",202,158,139,9.90645610539629
"436",202,157,140,9.92063208610525
"437",202,156,141,9.93228877959258
"438",202,155,142,9.9505973683344
"439",202,154,143,9.9902302088356
"440",201,155,143,9.99778181354821
"441",201,154,144,10.0634973436477
"442",200,155,144,10.0635300071138
"443",200,154,145,10.0928419450824
"444",200,153,146,10.1077865976877
"445",200,152,147,10.1717661072057
"446",200,151,148,10.1890752458041
"447",200,150,149,10.2152910460925
"448",200,149,150,10.2289785236645
"449",200,148,151,10.2423777940826
"450",200,147,152,10.268534281161
"451",199,148,152,10.2706001689348
"452",199,147,153,10.3535876727632
"453",198,148,153,10.3661014928376
"454",197,149,153,10.3686791274624
"455",196,150,153,10.3721247756586
"456",195,151,153,10.3864325972664
"457",194,152,153,10.3913696443143
"458",193,153,153,10.4057995106355
"459",192,154,153,10.4071596085529
"460",191,155,153,10.4072661725722
"461",191,154,154,10.4440148753306
"462",190,155,154,10.4563190000496
"463",190,154,155,10.4977169571678
"464",189,155,155,10.4988869829742
"465",189,154,156,10.5136860248605
"466",189,153,157,10.579685868607
"467",188,154,157,10.5878745916827
"468",187,155,157,10.5900676527213
"469",186,156,157,10.5983955627445
"470",186,155,158,10.6163488199004
"471",185,156,158,10.6187448561462
"472",184,157,158,10.6287736711947
"473",184,156,159,10.656475239077
"474",184,155,160,10.6902740903187
"475",184,154,161,10.7211671320588
"476",184,153,162,10.739905194335
"477",184,152,163,10.7766382170066
"478",184,151,164,10.7973931295026
"479",183,152,164,10.7979500338434
"480",183,151,165,10.8178713196534
"481",182,152,165,10.820518997634
"482",181,153,165,10.8233680535693
"483",180,154,165,10.8255465837132
"484",179,155,165,10.8289023165186
"485",178,156,165,10.8407589980847
"486",177,157,165,10.8425580943663
"487",176,158,165,10.8492448784316
"488",175,159,165,10.8580340110088
"489",175,158,166,10.9090875848333
"490",174,159,166,10.9107621673908
"491",174,158,167,10.9353350000391
"492",174,157,168,10.9629370468745
"493",173,158,168,10.9672061871452
"494",173,157,169,10.9824430037025
"495",172,158,169,10.9914325739097
"496",171,159,169,10.996727632903
"497",170,160,169,11.0047119342307
"498",170,159,170,11.0175077023952
"499",169,160,170,11.0215789570522
"500",168,161,170,11.0240699457173
"501",167,162,170,11.0313710281224
"502",167,161,171,11.0609080956417
"503",166,162,171,11.0695127505553
"504",165,163,171,11.0717354262669
"505",165,162,172,11.1052072376375
"506",165,161,173,11.1381348139525
"507",164,162,173,11.1426024710515
"508",164,161,174,11.1709054524733
"509",164,160,175,11.199733568944
"510",164,159,176,11.219838576577
"511",164,158,177,11.2622550034295
"512",163,159,177,11.2743002088795
"513",163,158,178,11.3187696350868
"514",162,159,178,11.3301458385782
"515",162,158,179,11.3569929744167
"516",162,157,180,11.3758434283153
"517",162,156,181,11.391607078931
"518",162,155,182,11.4200871863325
"519",162,154,183,11.4579880698076
"520",162,153,184,11.475012764659
"521",161,154,184,11.4787193312587
"522",160,155,184,11.4846788577822
"523",160,154,185,11.5017913561991
"524",159,155,185,11.5035655052194
"525",158,156,185,11.5133584952718
"526",157,157,185,11.5184957990464
"527",156,158,185,11.5310554895132
"528",156,157,186,11.5871223519903
"529",155,158,186,11.5926601203563
"530",154,159,186,11.6039849270275
"531",154,158,187,11.6195608685184
"532",154,157,188,11.6333690042531
"533",153,158,188,11.6414349376374
"534",153,157,189,11.6732405711581
"535",153,156,190,11.6989128494536
"536",153,155,191,11.7463823655132
"537",153,154,192,11.7604384338441
"538",153,153,193,11.7968015868491
"539",152,154,193,11.8015674273731
"540",151,155,193,11.8132218715741
"541",150,156,193,11.8227214202404
"542",150,155,194,11.8430274457281
"543",149,156,194,11.8433444980376
"544",149,155,195,11.8877062343295
"545",148,156,195,11.8935806986382
"546",147,157,195,11.9025646517375
"547",147,156,196,11.988045408203
"548",147,155,197,12.014512457265
"549",146,156,197,12.0182981327577
"550",145,157,197,12.0274169499715
"551",144,158,197,12.0311945414045
"552",143,159,197,12.033556085967
"553",142,160,197,12.0346838675429
"554",141,161,197,12.0468290274928
"555",141,160,198,12.077501001582
"556",141,159,199,12.1022956101854
"557",140,160,199,12.1134846191092
"558",139,161,199,12.11687820184
"559",139,160,200,12.1375290909321
"560",138,161,200,12.1473962451041
"561",138,160,201,12.1659329983306
"562",137,161,201,12.1762603326085
"563",137,160,202,12.192166286512
"564",136,161,202,12.2046290345649
"565",135,162,202,12.2136201237645
"566",134,163,202,12.219339182752
"567",133,164,202,12.22128436416
"568",132,165,202,12.2331555762958
"569",131,166,202,12.2340191320012
"570",131,165,203,12.2579774758881
"571",130,166,203,12.269274830073
"572",129,167,203,12.2696667822115
"573",129,166,204,12.2864541221711
"574",129,165,205,12.3171120137286
"575",128,166,205,12.3225041041187
"576",127,167,205,12.3295037932997
"577",127,166,206,12.3488593849247
"578",127,165,207,12.3664171346556
"579",126,166,207,12.3732938271703
"580",126,165,208,12.4014810156162
"581",125,166,208,12.4059931001503
"582",124,167,208,12.415644683205
"583",123,168,208,12.4247640370841
"584",122,169,208,12.4272673179275
"585",122,168,209,12.4497870486796
"586",121,169,209,12.4551081100037
"587",120,170,209,12.4616455887095
"588",120,169,210,12.4790119662022
