"","S","I","R","t"
"409",231,128,141,15.3540650955941
"410",231,127,142,15.380149815029
"411",230,128,142,15.3863909418613
"412",230,127,143,15.4190601477099
"413",230,126,144,15.4468320155601
"414",229,127,144,15.4502397865463
"415",228,128,144,15.4595222682011
"416",228,127,145,15.5025981471473
"417",227,128,145,15.5092859577051
"418",227,127,146,15.5193728523203
"419",226,128,146,15.5271118184342
"420",226,127,147,15.5532337359214
"421",226,126,148,15.5663191062035
"422",225,127,148,15.5708470786982
"423",224,128,148,15.5727041041888
"424",224,127,149,15.6121702893856
"425",224,126,150,15.6284255805033
"426",223,127,150,15.6334086254837
"427",223,126,151,15.7196918720363
"428",223,125,152,15.7549328544393
"429",223,124,153,15.7691804232105
"430",222,125,153,15.7774325533714
"431",222,124,154,15.7909071134085
"432",222,123,155,15.8134071553961
"433",222,122,156,15.8713481378774
"434",222,121,157,15.9303047644379
"435",222,120,158,15.9418448055461
"436",222,119,159,15.9522633001586
"437",222,118,160,15.9782772751908
"438",222,117,161,16.1725359709515
"439",221,118,161,16.1737601632997
"440",220,119,161,16.1763039388972
"441",220,118,162,16.2176951430755
"442",220,117,163,16.3734180608721
"443",220,116,164,16.4898249488172
"444",220,115,165,16.6277970359564
"445",219,116,165,16.6363360036422
"446",218,117,165,16.6383313543141
"447",218,116,166,16.6461974700145
"448",218,115,167,16.6907514311239
"449",218,114,168,16.7285341854209
"450",218,113,169,16.7853849125846
"451",218,112,170,16.8043248989691
"452",217,113,170,16.8059729650363
"453",217,112,171,16.8549564528987
"454",217,111,172,16.9361820122432
"455",217,110,173,16.9695477438407
"456",217,109,174,17.0392163050465
"457",217,108,175,17.2610322170284
"458",217,107,176,17.3834075098555
"459",217,106,177,17.4603956756488
"460",217,105,178,17.798485556923
"461",217,104,179,17.8091429201288
"462",217,103,180,17.8289517200641
"463",217,102,181,17.8988564245075
"464",217,101,182,17.9547188347514
"465",217,100,183,17.9649202344848
"466",217,99,184,18.1545487244369
"467",217,98,185,18.2017712301833
"468",217,97,186,18.3429983585503
"469",217,96,187,18.3636461883266
"470",216,97,187,18.3653643715217
"471",216,96,188,18.4348558024919
"472",215,97,188,18.4373090481555
"473",215,96,189,18.5093698868078
"474",215,95,190,18.5542528041322
"475",215,94,191,18.6069415671508
"476",215,93,192,18.6318396226265
"477",214,94,192,18.6322288617264
"478",214,93,193,18.6947930888809
"479",214,92,194,18.7391640698892
"480",214,91,195,18.9336077641267
"481",214,90,196,18.9688060972258
"482",214,89,197,19.0676271097748
"483",214,88,198,19.1415256693211
"484",214,87,199,19.180546673657
"485",214,86,200,19.2646692125765
"486",214,85,201,19.4356342287665
"487",214,84,202,19.6532189800024
"488",214,83,203,19.80170339036
"489",214,82,204,19.9553584661634
"490",214,81,205,20.2528718663155
"491",214,80,206,20.2743484093537
"492",214,79,207,20.4160574826445
"493",214,78,208,20.4307937737729
"494",214,77,209,20.4988259674352
"495",214,76,210,20.5783905766109
"496",214,75,211,20.5932747258006
"497",214,74,212,20.6261559754206
"498",214,73,213,20.6450701739426
"499",214,72,214,20.6995435104895
"500",214,71,215,20.7102383966897
"501",214,70,216,20.7409988079707
"502",214,69,217,20.8364579143364
"503",214,68,218,20.8976212825055
"504",214,67,219,20.9730051772328
"505",214,66,220,21.039526878014
"506",214,65,221,21.0861217595666
"507",214,64,222,21.1624448536537
"508",214,63,223,21.4301742832194
"509",214,62,224,21.5496061689538
"510",214,61,225,21.5918507413503
"511",214,60,226,21.6736147116843
"512",214,59,227,21.7056772189804
"513",214,58,228,21.7569986542703
"514",214,57,229,21.7944650231144
"515",214,56,230,21.9030521808139
"516",214,55,231,21.9727604730947
"517",214,54,232,22.0521945345702
"518",214,53,233,22.0880767331562
"519",214,52,234,22.1152064586921
"520",214,51,235,22.1734986906179
"521",214,50,236,22.2460192458388
"522",214,49,237,22.5510146113517
"523",214,48,238,22.8429558252952
"524",214,47,239,22.8693770543473
"525",214,46,240,22.8836112812022
"526",214,45,241,22.97826725446
"527",214,44,242,23.0263180564745
"528",214,43,243,23.1401575102695
"529",214,42,244,23.2661630610059
"530",214,41,245,23.6582329533093
"531",214,40,246,23.6846505421309
"532",214,39,247,23.7341682356221
"533",214,38,248,23.7777162790555
"534",213,39,248,23.7829821420233
"535",213,38,249,23.9406722121278
"536",213,37,250,23.9434233735168
"537",213,36,251,23.9483471898097
"538",213,35,252,23.9958284207255
"539",213,34,253,24.4204007177892
"540",213,33,254,24.4424642753135
"541",213,32,255,24.5201347886355
"542",213,31,256,24.8580842206024
"543",213,30,257,25.1958387645555
"544",213,29,258,25.2668377851295
"545",213,28,259,25.6965471708906
"546",213,27,260,25.791218540786
"547",213,26,261,25.8895091458023
"548",213,25,262,26.1624422439484
"549",213,24,263,26.2989418806002
"550",213,23,264,26.7304413214916
"551",213,22,265,26.8211512808729
"552",213,21,266,26.8825693070787
"553",213,20,267,26.9515334796218
"554",213,19,268,27.2632363833867
"555",213,18,269,27.5560598466165
"556",213,17,270,27.7727821042043
"557",213,16,271,28.7360961768852
"558",213,15,272,29.3255985271143
"559",213,14,273,29.3938428461829
"560",213,13,274,29.4232829288859
"561",213,12,275,29.5126751017028
"562",213,11,276,29.516990367627
"563",213,10,277,31.4762162035165
"564",213,9,278,31.5521263423027
"565",213,8,279,33.905310359677
"566",213,7,280,34.3329037170066
"567",213,6,281,34.3739879632556
"568",213,5,282,34.6275160043764
"569",213,4,283,34.8208389706602
"570",213,3,284,35.9180721763586
"571",213,2,285,39.5867192223922
"572",213,1,286,42.9127452555197
"573",213,0,287,44.1872866428877
