"","id","infectionTimes","recoveryTimes","id2"
"132",132,8.97593024649304,10.7827628731266,10
"133",133,4.84834312720155,23.9628349827801,3
"134",134,5.42326631728102,5.59847551738124,7
"135",135,NA,NA,NA
"136",136,8.3772754145997,9.4800928989641,16
"137",137,8.66713740658946,10.8380318856324,93
"138",138,9.71680917411973,12.6976082612527,51
"139",139,5.82843305082792,13.5259046697794,7
"140",140,5.45394073465522,5.56212661362202,40
"141",141,4.89577932383593,15.5602925334852,3
"142",142,10.6138256353893,19.6744118977958,74
"143",143,NA,NA,NA
"144",144,NA,NA,NA
"145",145,12.5828702012516,15.9207311190652,138
"146",146,8.05013057644477,8.12543770425568,16
"147",147,8.62032105164646,14.7585727295084,93
"148",148,7.2989998475279,7.99246621979578,48
"149",149,5.29712011686446,33.4728130009361,7
