"","id","infectionTimes","recoveryTimes"
"138",138,5.06330055284996,5.13030139099732
"139",139,10.3951277256264,16.5326204685459
"140",140,5.82770829775094,33.2160128077254
"141",141,NA,NA
"142",142,7.74007040046167,9.40097427467125
"143",143,4.62788424439522,11.342885069676
"144",144,8.02850414555653,10.3916608227635
"145",145,6.14159738094447,6.78219851934269
"146",146,5.57447808132887,13.5474164491534
"147",147,15.627412162582,19.2239264755518
"148",148,6.14834239260236,8.4153508037628
"149",149,12.9835608239683,18.4548097597289
"150",150,4.72043956269297,31.0169523140119
"151",151,NA,NA
"152",152,NA,NA
"153",153,5.4313080162871,5.47729062881491
"154",154,6.65599455366863,7.29454047637375
"155",155,8.15231348607816,8.17197585007299
"156",156,5.51337610477012,16.2942630417142
"157",157,6.75864361651739,10.1057341123511
"158",158,5.72812343063277,5.76552345457922
